Position_2,Final_result
21.2607,20.395412657849583
21.932,21.049674547030065
22.6276,21.72588595781831
22.6718,21.768788598360622
21.932,21.049674547030065
21.2136,20.316566379184298
20.518800000000002,19.63839115904235
19.8501,18.947365738390175
19.209300000000002,18.320078377922417
18.601100000000002,17.723769265399802
18.0279,17.119664912702316
17.493100000000002,16.594435611195433
17.0003,16.109946310372766
16.5534,15.623204153144012
16.156000000000002,15.232178744569888
15.811900000000001,14.893371493397215
15.5247,14.610434420520816
15.2973,14.3863132802926
15.133099999999999,14.224429246982234
15.0337,14.072378736579035
15.000399999999999,14.039565365357818
15.0337,14.094589880440468
15.133099999999999,14.192560167369901
15.2974,14.354461643562162
15.5245,14.5781724871326
15.8116,14.917703122114771
16.156100000000002,15.257046118421426
16.5535,15.648242084322275
17.0005,16.13743136356605
17.4933,16.62217480420773
18.0281,17.14769675708904
18.601300000000002,17.754353376973906
19.2095,18.351073461853606
19.8494,18.97794685269893
20.5182,19.671945979384606
21.2139,20.3516444971017
